iter	Logloss
0	0.6256274739
1	0.5784523573
2	0.543363653
3	0.5152007178
4	0.4931311985
5	0.477566489
6	0.4643335224
7	0.453667409
8	0.4451579788
9	0.438515618
10	0.4320411585
11	0.4270623023
12	0.4240346161
13	0.4189947814
14	0.4150043785
15	0.4118095409
16	0.4096997586
17	0.4076919928
18	0.4056996453
19	0.4039649314
20	0.4019160758
21	0.4000468718
22	0.3986298354
23	0.3973184267
24	0.3960455394
25	0.3948762068
26	0.3938422099
27	0.3927539766
28	0.3915452131
29	0.3908099326
30	0.3898845963
31	0.3892585482
32	0.3882421438
33	0.3876009935
34	0.3870957724
35	0.3866420121
36	0.3860435722
37	0.38518903
38	0.3845646508
39	0.3840995203
40	0.3836431823
41	0.3831586387
42	0.3829264158
43	0.3824019682
44	0.3818804237
45	0.3815008865
46	0.3810832808
47	0.3806455201
48	0.3802343761
49	0.3797913593
50	0.3791013912
51	0.3785593115
52	0.3782214368
53	0.377760733
54	0.3774604098
55	0.3770616171
56	0.376660492
57	0.3762471605
58	0.3759805717
59	0.3757012353
60	0.3754245662
61	0.3751414347
62	0.3749786109
63	0.3746422265
64	0.3743953273
65	0.3739691494
66	0.3736165394
67	0.3731784462
68	0.3728883678
69	0.3725634831
70	0.3722053139
71	0.3720044707
72	0.3716863134
73	0.371358995
74	0.3711547095
75	0.3709758271
76	0.3707814414
77	0.370445042
78	0.3702117851
79	0.3699444068
80	0.3697388815
81	0.3696226625
82	0.3694298709
83	0.3692457458
84	0.3691223339
85	0.3688517088
86	0.3686053964
87	0.368425041
88	0.3683270881
89	0.3681472693
90	0.3679221985
91	0.3677132939
92	0.3675778032
93	0.3674376652
94	0.3673089079
95	0.3671417303
96	0.3669082989
97	0.366798307
98	0.3666594541
99	0.3663672899
100	0.3661956251
101	0.3659636664
102	0.3656939428
103	0.3654799294
104	0.3652391925
105	0.365073671
106	0.3649841991
107	0.3648358582
108	0.3646510975
109	0.3644469677
110	0.3642770391
111	0.3641064342
112	0.3639398825
113	0.3638270147
114	0.3636486294
115	0.3635695508
116	0.3634019283
117	0.3632616013
118	0.3631071023
119	0.3629595824
120	0.3627916707
121	0.3626749821
122	0.3625772643
123	0.3624203545
124	0.3622365225
125	0.3621341178
126	0.3619966213
127	0.3618701235
128	0.3617718879
129	0.3616416806
130	0.3615574218
131	0.3614757326
132	0.361341495
133	0.3611977515
134	0.361058956
135	0.3609481073
136	0.3607763722
137	0.3606194952
138	0.360547059
139	0.3604180618
140	0.360320313
141	0.3602431887
142	0.3601443157
143	0.3600195154
144	0.3598923453
145	0.3598102423
146	0.3597083189
147	0.3595922998
148	0.3595337074
149	0.3594293843
150	0.3593243446
151	0.3592365266
152	0.3591113501
153	0.3590019772
154	0.3588826651
155	0.3587525955
156	0.3586150273
157	0.3584854669
158	0.3583696927
159	0.3581979592
160	0.3580930066
161	0.3580164006
162	0.3579147885
163	0.3578155352
164	0.3577472582
165	0.3576675407
166	0.3575626841
167	0.3574555562
168	0.3573818285
169	0.3573130137
170	0.3572369741
171	0.3571292548
172	0.3569935107
173	0.3568979656
174	0.3568048022
175	0.3567130817
176	0.3566697834
177	0.3565828403
178	0.3564901711
179	0.35637874
180	0.3563310164
181	0.3562297707
182	0.3561403356
183	0.3560390367
184	0.3559403269
185	0.3558786118
186	0.3558145615
187	0.3557584422
188	0.3556963767
189	0.3556115694
190	0.3555294088
191	0.3555029461
192	0.3553954746
193	0.3553421804
194	0.3552909351
195	0.3552553208
196	0.3551827867
197	0.355090752
198	0.3550234366
199	0.3549418365
200	0.3548749333
201	0.3547861821
202	0.3547061809
203	0.3546474381
204	0.3545538435
205	0.3545059006
206	0.3544585325
207	0.3544051153
208	0.3543423965
209	0.3542847275
210	0.3542412587
211	0.3542175917
212	0.3541398086
213	0.3540635511
214	0.3539944899
215	0.3539432342
216	0.3538840245
217	0.3538265806
218	0.3537566902
219	0.3537252075
220	0.3536408377
221	0.3535454699
222	0.3534954824
223	0.3534515452
224	0.353395023
225	0.3533120697
226	0.3532594618
227	0.3532008444
228	0.3531781013
229	0.3531320313
230	0.3531110376
231	0.3530654918
232	0.3530359772
233	0.3530067306
234	0.3529762942
235	0.3529412563
236	0.3529248405
237	0.352886674
238	0.3528255119
239	0.3527949377
240	0.3527334413
241	0.3527005486
242	0.3526443139
243	0.3526034689
244	0.3525725924
245	0.3525311426
246	0.3524876964
247	0.3524437349
248	0.3523772498
249	0.3523176079
250	0.3522457988
251	0.3522214039
252	0.3521705451
253	0.3521360221
254	0.3520756016
255	0.3520141384
256	0.3519529711
257	0.3518976285
258	0.351817665
259	0.3517835786
260	0.3517473733
261	0.3516465089
262	0.3515944033
263	0.3515342005
264	0.3514758817
265	0.351448484
266	0.3513651561
267	0.3512985235
268	0.3512514827
269	0.351183971
270	0.351143586
271	0.3510748077
272	0.3510205507
273	0.3509731389
274	0.3509386444
275	0.3508863678
276	0.3508635542
277	0.3508093387
278	0.3507946316
279	0.350769757
280	0.3507144253
281	0.3506865043
282	0.3506572631
283	0.3505693391
284	0.3505202161
285	0.3505076346
286	0.350468679
287	0.3504468974
288	0.3503806727
289	0.3503392646
290	0.3503110043
291	0.350268849
292	0.3502211695
293	0.3501655375
294	0.3501181847
295	0.3500847476
296	0.3500146879
297	0.3499772996
298	0.349943573
299	0.3499280588
300	0.3499244283
301	0.3498587341
302	0.349837675
303	0.3497818187
304	0.3497216211
305	0.3496588911
306	0.3496467507
307	0.3496142513
308	0.349562489
309	0.3495320487
310	0.3494897706
311	0.3494474348
312	0.3493911858
313	0.3493385881
314	0.3492992723
315	0.3492754994
316	0.3492558295
317	0.3492246811
318	0.3491964536
319	0.3491326406
320	0.349120081
321	0.3490909841
322	0.3490591442
323	0.3490284784
324	0.3489837154
325	0.3489256965
326	0.3488636973
327	0.3487923907
328	0.3487651416
329	0.3487264123
330	0.3486871589
331	0.3486448342
332	0.3486225012
333	0.3485798112
334	0.3485423219
335	0.3484960079
336	0.3484664132
337	0.3484163427
338	0.3483822815
339	0.3483528846
340	0.3483033668
341	0.3482689593
342	0.3482096753
343	0.3481725233
344	0.3480864221
345	0.3480029714
346	0.3479613169
347	0.3479373431
348	0.3478858615
349	0.3478698195
350	0.3478351596
351	0.3478157985
352	0.347787457
353	0.3477288039
354	0.347706485
355	0.3476641679
356	0.347611136
357	0.3475518611
358	0.3475198274
359	0.3474982792
360	0.34744183
361	0.3474140484
362	0.3473713303
363	0.347347503
364	0.3473084896
365	0.3472537172
366	0.347210652
367	0.3471856539
368	0.347161954
369	0.3471188791
370	0.3470572288
371	0.3470357223
372	0.3469928225
373	0.3469706748
374	0.3469031986
375	0.3468684918
376	0.3468277607
377	0.3467982793
378	0.3467563564
379	0.3467211672
380	0.3466785452
381	0.3466619183
382	0.3466220578
383	0.346582346
384	0.346540561
385	0.3465031274
386	0.3464597102
387	0.3464379068
388	0.3464021507
389	0.3463510821
390	0.3463037895
391	0.3462638423
392	0.3462375629
393	0.3461983968
394	0.3461404787
395	0.3460952537
396	0.3460395901
397	0.3460240646
398	0.3459945742
399	0.3459392306
400	0.3459062264
